name,industry,status,year,url
Headly,Software,Invested,2024,https://www.headly.com
Fly Chicken,Food & Beverage,Exited,2018,https://www.flychicken.com
Solstorm,Aerospace,RIP,2023,
Wirebook,Software,Invested,2020,https://wirebook.no/
Revolut,FinTech,Invested,2019,https://www.revolut.com
Gobi,Software,Invested,2015,https://www.gobistories.com/
Kontorplasser,Software,Invested,2021,https://www.proff.no/selskap/kontorplasser-as/bryne/datakommunikasjon-og-nettverk/IFBYNVE009M
Triangula,Military,Invested,2018,https://www.triangula.com
Astat,FinTech,RIP,2021,
Supporter,Software,RIP,2019,
Lyn,Sports,Invested,2021,https://www.lyn.com
Kalera,AgriTech,RIP,2020,
Mia Health,Health,Exited,2017,https://miahealth.no/en/
Food Family,Food & Beverage,Invested,2021,https://www.paleetfoodhall.no/
Digitech,Software,Invested,2020,https://www.digitech.no/
Cync,Software,RIP,2016,
Moonwalk,Venture Capital,RIP,2016,
Mano Pizza,Food & Beverage,RIP,2020,
Lisi,Marketplace,Invested,2024,https://www.lisi.no/
NewCo Ventures,Venture Capital,Invested,2019,https://www.proff.no/selskap/newco-ventures-as/oslo/-/IFABKSN0000
